Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO BRADESCARD S.A.;4184779;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;12/2021;14.318.345;9.637.893;8.789.010;2.276;5.529.335;243.349;2;0
BANCO CSF S.A.;8357240;BCO CSF S.A. - PRUDENCIAL;;81610;b2;3;8;SAO PAULO;SP;12/2021;14.174.079;13.194.315;11.313.184;2.195.370;2.860.894;274.554;2;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;SCOTIABANK BRASIL - PRUDENCIAL;52230;81452;b1;3;8;SAO PAULO;SP;12/2021;14.120.436;2.565.187;12.854.609;7.328.530;1.265.827;121.059;2;0
MERCADOPAGO.COM REPRESENTACOES LTDA.;10573521;MERCADOPAGO PRUDENCIAL;;84820;n4;2;41;OSASCO;SP;12/2021;14.057.875;1.406.601;13.732.147;5.026.085;325.728;-137.276;1;0
PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;4862600;PORTO SEGURO - PRUDENCIAL;51444;80642;n1;2;14;SAO PAULO;SP;12/2021;13.452.145;12.923.843;12.274.854;3.091.041;1.177.291;104.128;2;0
CITIBANK N.A.;33042953;CITIBANK - PRUDENCIAL;30403;80192;b1;3;28;SAO PAULO;SP;12/2021;12.849.009;11.286;7.235.819;4.324.780;5.613.190;191.859;2;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;BCO DO EST. DO PA S.A. - PRUDENCIAL;;81586;b1;1;8;BELEM;PA;12/2021;12.518.707;8.424.013;10.880.010;10.520.406;1.638.698;120.915;147;34
BANCO MERCANTIL DO BRASIL S.A.;17184037;MERCANTIL DO BRASIL - PRUDENCIAL;20152;80123;b1;2;8;BELO HORIZONTE;MG;12/2021;12.455.378;8.550.352;11.330.886;9.579.837;1.124.491;83.949;26;244
BANCO FIBRA S.A.;58616418;BCO FIBRA S.A. - PRUDENCIAL;;81483;b1;2;8;SAO PAULO;SP;12/2021;12.179.828;3.810.227;11.014.394;9.899.083;1.165.434;-14.165;2;0
BANCO MIZUHO DO BRASIL S.A.;61088183;MIZUHO - PRUDENCIAL;;80697;b1;3;8;SAO PAULO;SP;12/2021;11.898.300;2.246.961;11.084.635;7.359.235;813.664;31.846;2;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;DEUTSCHE - PRUDENCIAL;;80532;b1;3;8;SAO PAULO;SP;12/2021;11.817.440;2.231.945;9.528.894;5.630.207;2.288.546;94.909;2;0
BANCO BOCOM BBM S.A.;15114366;BOCOM - PRUDENCIAL;52003;84624;b1;3;8;SALVADOR;BA;12/2021;11.355.225;6.336.716;10.514.417;9.547.543;840.808;83.859;4;0
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO - PRUDENCIAL;10045;80075;n1;2;19;OSASCO;SP;12/2021;11.273.068;3.059.143;7.988.958;6.011.869;3.284.110;-228.008;2;0
BANCO RCI BRASIL S.A.;62307848;SANTANDER - PRUDENCIAL;30379;80185;b2;3;8;SAO PAULO;SP;12/2021;11.147.493;9.123.560;9.622.943;8.421.559;1.524.550;67.255;2;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;APE POUPEX - PRUDENCIAL;;81184;n1;2;25;BRASILIA;DF;12/2021;10.688.053;2.746.415;2.108.387;1.943.073;8.579.666;111.255;63;0
BANCO MASTER S/A;33923798;BANCO MASTER - PRUDENCIAL;50201;80367;b1;2;2;RIO DE JANEIRO;RJ;12/2021;10.354.550;4.054.190;9.707.064;9.027.677;647.485;104.269;3;2
BANCOSEGURO S.A.;10264663;PAGSEGURO - PRUDENCIAL;;84813;b1;2;8;SAO PAULO;SP;12/2021;10.352.866;109.813;9.840.203;9.464.763;512.663;60.844;2;0
PICPAY INSTITUIÇÃO DE PAGAMENTO S.A.;22896431;BANCO ORIGINAL - PRUDENCIAL;;80903;n4;2;41;SAO PAULO;SP;12/2021;10.316.875;0;9.883.848;6.636.815;433.027;-795.342;1;0
BANCO GM S.A.;59274605;GM - PRUDENCIAL;;80848;b2;3;8;SAO PAULO;SP;12/2021;10.198.041;7.174.170;7.529.558;5.902.055;2.668.483;137.825;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;;;;b3C;2;9;BELO HORIZONTE;MG;12/2021;10.148.852;404.903;9.460.080;247.444;688.772;26.373;0;0
BANCO SOFISA S.A.;60889128;SOFISA - PRUDENCIAL;31873;80271;b1;2;8;SAO PAULO;SP;12/2021;10.044.939;6.193.167;9.182.002;8.533.266;862.937;94.353;18;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;;;;b3C;2;9;PORTO ALEGRE;RS;12/2021;10.036.468;0;9.445.410;0;591.058;0;0;0
FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;17167412;ALFA - PRUDENCIAL;51293;80570;n1;2;14;SAO PAULO;SP;12/2021;9.951.832;5.742.450;8.915.139;8.507.018;1.036.693;47.935;21;0
BANCO JOHN DEERE S.A.;91884981;JOHN DEERE - PRUDENCIAL;;80343;b1;3;8;INDAIATUBA;SP;12/2021;9.734.108;8.968.885;7.983.266;7.793.640;1.750.842;96.044;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;;;;b3C;2;9;FLORIANOPOLIS;SC;12/2021;9.583.557;203.931;8.994.990;1.534.442;588.567;14.043;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;;;;b3S;2;9;BLUMENAU;SC;12/2021;9.455.321;6.508.750;7.470.482;6.875.879;1.984.839;139.786;0;110
BANCO CETELEM S.A.;558456;BNP PARIBAS - PRUDENCIAL;51516;80673;b1;3;8;SAO PAULO;SP;12/2021;9.172.257;8.366.832;7.821.011;5.980.850;1.351.247;-152.435;2;0
ITAU CORRETORA DE VALORES S.A.;61194353;ITAU - PRUDENCIAL;10069;80099;n2;2;15;SAO PAULO;SP;12/2021;9.015.588;0;6.744.312;190.457;2.271.276;292.002;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;;;;b3C;2;9;RIBEIRAO PRETO;SP;12/2021;8.937.055;3.161;8.630.661;437.094;306.395;9.414;0;0
BANCO TOYOTA DO BRASIL S.A.;3215790;BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;;81562;b2;3;8;SAO PAULO;SP;12/2021;8.823.700;6.977.945;7.581.050;6.706.395;1.242.650;124.299;2;0
